,0
/m/100_girls,1
/m/100_streets,11
/m/1010002-hound_of_the_baskervilles,11
/m/1010004-hound_of_the_baskervilles,14
/m/1010030-house_of_wax,45
/m/1010034-house_on_haunted_hill,7
/m/1010174-hud,32
/m/1010202-human_factor,4
/m/1010214-hunchback_of_notre_dame,10
/m/1010215-hunchback_of_notre_dame,11
/m/1010230-hunter,3
/m/1010249-hustle,4
/m/1010263-i_the_jury,-1
/m/1010417-imitation_of_life,25
/m/1010431-importance_of_being_earnest,23
/m/1010440-impulse,2
/m/1010448-in_cold_blood,42
/m/1010526-incubus,1
/m/1010540-indiscreet,24
/m/1010553-informer,10
/m/1010555-inherit_the_wind,24
/m/1010644-intolerance,43
/m/1010672-invaders_from_mars,5
/m/1010673-invaders_from_mars,8
/m/1010678-invasion_of_the_body_snatchers,43
/m/1010679-invasion_of_the_body_snatchers,36
/m/1010695-invisible_man,35
/m/1010745-island,1
/m/1010752-island_of_dr_moreau,18
/m/1010762-islands_in_the_stream,1
/m/1010770-it,10
/m/1010793-its_alive,12
/m/1010824-ivanhoe,16
/m/1010837-jack_and_the_beanstalk,3
/m/1010849-jack_frost,-2
/m/1010889-jamaica_inn,5
/m/1010939-jason_and_the_argonauts,33
/m/1010978-jazz_singer,27
/m/1010979-jazz_singer,21
/m/1011028-jesus_christ_superstar,9
/m/1011176-johnny_belinda,9
/m/1011295-judex,3
/m/1011328-julius_caesar,23
/m/1011329-julius_caesar,3
/m/1011338-jungle_book,14
/m/1011392-kansas,7
/m/1011487-kickboxer,-1
/m/1011495-kid_galahad,1
/m/1011558-killer_elite,6
/m/1011605-king_and_i,23
/m/1011615-king_kong,50
/m/1011617-king_kong,13
/m/1011623-king_of_comedy,54
/m/1011626-king_of_kings,13
/m/1011638-king_solomons_mines,10
/m/1011813-lady_vanishes,43
/m/1011818-ladykillers,21
/m/1012007-laura,63
/m/1012164-legend,19
/m/1012225-les_miserables,14
/m/1012264-letter,11
/m/1012370-lilies_of_the_field,19
/m/1012386-lion_in_winter,32
/m/1012419-little_drummer_boy,5
/m/1012439-little_lord_fauntleroy,6
/m/1012478-little_princess,4
/m/1012506-little_romance,20
/m/1012514-little_shop_of_horrors,8
/m/1012515-little_shop_of_horrors,39
/m/1012524-little_women,9
/m/1012525-little_women,5
/m/1012605-lock_up,4
/m/1012611-lolita,38
/m/1012647-long_days_journey_into_night,15
/m/1012662-long_hot_summer,19
/m/1012665-longest_yard,27
/m/1012672-look_back_in_anger,11
/m/1012772-lost_patrol,6
/m/1012813-love_bug,7
/m/1012871-lovesick,5
/m/1012920-lust_for_life,10
/m/1012928-m,53
/m/1013004-made_in_heaven,6
/m/1013035-magic_flute,26
/m/1013071-magnificent_ambersons,39
/m/1013077-magnificent_seven,42
/m/1013089-main_event,6
/m/1013139-maltese_falcon,62
/m/1013162-man_for_all_seasons,41
/m/1013227-manchurian_candidate,56
/m/1013238-manhattan_project,18
/m/1013248-manhunter,31
/m/1013259-mannequin,-5
/m/1013380-mark_of_zorro,9
/m/1013427-marty,32
/m/1013488-masquerade,10
/m/1013632-mechanic,-4
/m/1013711-men,13
/m/1013772-meteor,-5
/m/1013775-metropolis,119
/m/1013867-midsummer_nights_dream,7
/m/1013884-mighty_joe_young,19
/m/1013973-miracle_worker,27
/m/1014008-missing_in_action,-2
/m/1014027-mission,8
/m/1014061-mister_roberts,21
/m/1014090-moby_dick,18
/m/1014137-monkey_business,14
/m/1014138-monkey_business,14
/m/1014217-moonraker,16
/m/1014246-morning_glory,4
/m/1014294-moulin_rouge,10
/m/1014325-mr_and_mrs_smith,16
/m/1014352-mrs_soffel,9
/m/1014370-mummy,13
/m/1014372-mummy,3
/m/1014396-murder,17
/m/1014453-music_man,15
/m/1014481-mutiny_on_the_bounty,37
/m/1014482-mutiny_on_the_bounty,16
/m/1014536-my_man_godfrey,23
/m/1014592-mysterious_island,11
/m/1014793-near_dark,31
/m/1014804-neighbors,9
/m/1014946-next_of_kin,5
/m/1014986-nicholas_and_alexandra,17
/m/1015002-night_at_the_opera,28
/m/1015052-night_of_the_living_dead,32
/m/1015079-night_to_remember,23
/m/1015095-nighthawks,14
/m/1015196-no_mans_land,7
/m/1015199-no_mercy,5
/m/1015218-no_way_out,34
/m/1015348-nutty_professor,16
/m/1015361-obsession,16
/m/1015380-odd_couple,34
/m/1015383-odd_man_out,38
/m/1015389-odessa_file,11
/m/1015517-omen,20
/m/1015530-on_the_beach,8
/m/1015542-on_the_town,21
/m/1015639-only_when_i_laugh,4
/m/1015737-our_town,5
/m/1015753-out_of_the_dark,4
/m/1015758-outoftowners,15
/m/1015944-parent_trap,17
/m/1015967-party,15
/m/1016119-pennies_from_heaven,21
/m/1016213-peter_pan,39
/m/1016239-phantom_of_the_opera,3
/m/1016240-phantom_of_the_opera,39
/m/1016302-picture_of_dorian_gray,12
/m/1016338-pink_panther,30
/m/1016359-piranha,3
/m/1016365-pirates_of_penzance,17
/m/1016369-pit_and_the_pendulum,7
/m/1016397-planet_of_the_apes,35
/m/1016479-point_blank,32
/m/1016512-pollyanna,13
/m/1016513-poltergeist,37
/m/1016534-popeye,19
/m/1016584-poseidon_adventure,7
/m/1016586-posse,3
/m/1016591-postman_always_rings_twice,19
/m/1016592-postman_always_rings_twice,5
/m/1016609-power,11
/m/1016698-pride_and_prejudice,12
/m/1016724-prince_and_the_pauper,3
/m/1016756-prisoner_of_zenda,9
/m/1016760-prisoner,6
/m/1016819-producers,48
/m/1016832-project_x,11
/m/1016834-prom_night,2
/m/1016837-promised_land,45
/m/1016842-prophecy,4
/m/1016847-protector,1
/m/1016854-prowler,2
/m/1016885-public_enemy,24
/m/1016897-pulse,13
/m/1017021-quo_vadis,15
/m/1017123-raisin_in_the_sun,16
/m/1017226-raw_deal,7
/m/1017237-razors_edge,4
/m/1017238-razors_edge,14
/m/1017289-rear_window,70
/m/1017321-red_dawn,11
/m/1017328-red_heat,16
/m/1017346-red_shoes,60
/m/1017352-red_sonja,-8
/m/1017410-repentance,17
/m/1017488-return_to_oz,29
/m/1017502-revenge,14
/m/1017530-rich_and_famous,9
/m/1017641-risky_business,39
/m/1017666-road_house,-21
/m/1017699-robin_hood,14
/m/1017712-robocop,23
/m/1017745-rock_n_roll_high_school,24
/m/1017776-rocky,49
/m/1017834-romeo_and_juliet,39
/m/1017962-rudolph_the_rednosed_reindeer,22
/m/1017991-runaway,5
/m/1018009-running_scared,14
/m/1018044-sabotage,12
/m/1018047-sabrina,35
/m/1018069-sahara,9
/m/1018126-samson_and_delilah,6
/m/1018315-scanners,33
/m/1018318-scarecrow,17
/m/1018323-scarface,42
/m/1018413-scrooge,14
/m/1018433-sea_hawk,12
/m/1018473-second_sight,6
/m/1018550-see_no_evil,2
/m/1018587-separate_tables,13
/m/1018688-shadow_of_a_doubt,38
/m/1018699-shaft,34
/m/1018702-shaggy_dog,16
/m/1018704-shakedown,-2
/m/1018711-shall_we_dance,7
/m/1018885-shooting,15
/m/1018891-short_circuit,10
/m/1018909-shot_in_the_dark,20
/m/1018916-show_boat,9
/m/1018989-silent_night_deadly_night,-4
/m/1018994-silent_partner,5
/m/1019017-silver_streak,17
/m/1019026-simon,1
/m/1019045-sinbad_the_sailor,5
/m/1019128-skin_deep,13
/m/1019187-sleeping_beauty,38
/m/1019378-something_to_sing_about,3
/m/1019441-sorcerer,34
/m/1019541-sparkle,2
/m/1019544-spartacus,44
/m/1019641-splash,27
/m/1019716-spring_break,5
/m/1019743-squeeze,3
/m/1019761-1019761-st_valentines_day_massacre,5
/m/1019774-stagecoach,42
/m/1019777-stage_fright,20
/m/1019779-stakeout,14
